state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name
01,109,0003,14129,1,Lead (TSP) LC,2009-01-01,,,POINT,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2019-06-27,Y,Y,SLAMS,,0013,Al Dept Of Env Mgt,314,31.790479,-85.978974,NAD83,0.0,161.0,3.0,GROUND LEVEL SUPPORT,TROY LEAD,HENDERSON ROAD,Alabama,Pike,Troy,45980,"Troy, AL",,,,
01,109,0003,14129,2,Lead (TSP) LC,2009-01-01,,,POINT,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2019-06-27,,,SLAMS,,0013,Al Dept Of Env Mgt,314,31.790479,-85.978974,NAD83,0.0,161.0,3.0,GROUND LEVEL SUPPORT,TROY LEAD,HENDERSON ROAD,Alabama,Pike,Troy,45980,"Troy, AL",,,,
04,007,1002,14129,2,Lead (TSP) LC,2011-01-01,2019-09-30,,POINT,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION; SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2011-01-01,,,,,0053,Arizona Department Of Environmental Quality,96216,33.002517,-110.765467,WGS84,5.0,602.0,2.0,GROUND LEVEL SUPPORT,Globe Highway,SR 77,Arizona,Gila,Not in a City,37740,"Payson, AZ",,,,
04,007,1003,14129,2,Lead (TSP) LC,2019-09-24,,,POINT,MICROSCALE,0 M TO 100 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2019-09-24,,,SLAMS,,0053,Arizona Department Of Environmental Quality,100816,33.0035,-110.7822,WGS84,3.0,635.0,3.0,GROUND LEVEL SUPPORT,Hillcrest AMS,123 Hillcrest Ave,Arizona,Gila,Hayden,37740,"Payson, AZ",,,,
04,013,4018,14129,2,Lead (TSP) LC,2012-01-01,2019-12-31,,MOBILE,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2015-01-01,,,,,0643,Maricopa County Air Quality ,95929,33.68449,-112.08633,NAD83,1.0,450.5,4.1,GROUND LEVEL SUPPORT,Deer Valley,1030 W. Deer Valley Rd,Arizona,Maricopa,Phoenix,38060,"Phoenix-Mesa-Scottsdale, AZ",,,,
04,007,1003,14129,1,Lead (TSP) LC,2016-01-01,,,POINT,MICROSCALE,0 M TO 100 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2016-01-01,Y,Y,SLAMS,,0053,Arizona Department Of Environmental Quality,100816,33.0035,-110.7822,WGS84,3.0,635.0,3.0,GROUND LEVEL SUPPORT,Hillcrest AMS,123 Hillcrest Ave,Arizona,Gila,Hayden,37740,"Payson, AZ",,,,
04,007,8000,14129,1,Lead (TSP) LC,2011-01-01,,,POINT,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE; SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2011-01-01,Y,,SLAMS,,0053,Arizona Department Of Environmental Quality,93295,33.419017,-110.82967,WGS84,1.0,1012.0,3.0,GROUND LEVEL SUPPORT,MIAMI GOLF COURSE,SR 188 & US 60,Arizona,Gila,Globe,37740,"Payson, AZ",,,,
04,013,4018,14129,1,Lead (TSP) LC,2012-01-01,2019-12-31,,MOBILE,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2015-01-01,,,,,0643,Maricopa County Air Quality ,95929,33.68449,-112.08633,NAD83,1.0,450.5,4.1,GROUND LEVEL SUPPORT,Deer Valley,1030 W. Deer Valley Rd,Arizona,Maricopa,Phoenix,38060,"Phoenix-Mesa-Scottsdale, AZ",,,,
04,007,1002,14129,1,Lead (TSP) LC,2011-01-01,,,POINT,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION; SOURCE ORIENTED,191,Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,2011-01-01,Y,Y,SLAMS,,0053,Arizona Department Of Environmental Quality,96216,33.002517,-110.765467,WGS84,5.0,602.0,2.0,GROUND LEVEL SUPPORT,Globe Highway,SR 77,Arizona,Gila,Not in a City,37740,"Payson, AZ",,,,
06,037,1103,14129,3,Lead (TSP) LC,2009-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,110,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2009-01-01,,,SLAMS,,0972,South Coast Air Quality Management District,1081,34.06659,-118.22688,WGS84,0.0,87.0,13.0,,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
